playerID,Name,Position,Club,Division,Based,Nation,Height,Weight,Age,preferredFoot,bestPos,bestRole,Value,Wage
2097,Lionel Messi,"AM (RC), ST (C)",Barcelona,Spanish First Division,Spain (First Division),ARG,170,72,32,Left,AM (R),IF,73000000,1200000
2371,Cristiano Ronaldo,"AM (RL), ST (C)",Juventus,Italian Serie A,Italy (Serie A),POR,185,83,34,Either,ST (C),CF,31000000,950000
217,Manuel Neuer,GK,FC Bayern,Bundesliga,Germany (Bundesliga),GER,192,90,33,Either,GK,SK,44000000,250000
2099,Neymar,"M (L), AM (LC), ST (C)",Paris SG,Ligue 1 Conforama,France (Ligue 1 Conforama),BRA,175,68,27,Right,AM (L),IW,91000000,600000
8260,Erling Haaland,ST (C),Borussia Dortmund,Bundesliga,Germany (Bundesliga),NOR,194,87,18,Left,ST (C),AF,67000000,135000
447,Kevin De Bruyne,"M (RLC), AM (C)",Man City,English Premier Division,England (Premier Division),BEL,181,70,27,Either,M (C),MEZ,88000000,230000
1285,Gianluigi Buffon,GK,Juventus,Italian Serie A,Italy (Serie A),ITA,192,92,41,Right Only,GK,SK,3100000,38000
2251,Gareth Bale,"M (L), AM (RLC), ST (C)",Tottenham,English Premier Division,England (Premier Division),WAL,185,82,29,Left,AM (L),W,75000000,525000
2270,Antoine Griezmann,"AM (RLC), ST (C)",Barcelona,Spanish First Division,Spain (First Division),FRA,175,71,28,Left,ST (C),AF,75000000,550000
701,Eden Hazard,AM (RLC),R. Madrid,Spanish First Division,Spain (First Division),BEL,173,76,28,Either,AM (L),IW,75000000,525000
647,Harry Kane,"AM (C), ST (C)",Tottenham,English Premier Division,England (Premier Division),ENG,188,86,25,Either,ST (C),DLF,77000000,200000
1741,Zlatan Ibrahimovic,ST (C),Milan,Italian Serie A,Italy (Serie A),SWE,195,95,37,Either,ST (C),DLF,5250000,180000
1250,Mohamed Salah,"AM (RL), ST (C)",Liverpool,English Premier Division,England (Premier Division),EGY,175,72,27,Left,AM (R),IF,79000000,200000
227,Robert Lewandowski,ST (C),FC Bayern,Bundesliga,Germany (Bundesliga),POL,184,78,30,Right,ST (C),PF,80000000,325000
833,Virgil van Dijk,D (C),Liverpool,English Premier Division,England (Premier Division),NED,193,92,27,Right,D (C),BPD,65000000,180000
6691,Dejan Kulusevski,"M (RC), AM (RLC)",Parma,Italian Serie A,Italy (Serie A),SWE,186,75,19,Left,M (R),IW,23500000,7750
7781,Frenkie de Jong,"D (C), DM, M (C)",Barcelona,Spanish First Division,Spain (First Division),NED,181,69,22,Right,M (C),AP,52000000,165000
680,Thibaut Courtois,GK,R. Madrid,Spanish First Division,Spain (First Division),BEL,199,96,27,Left,GK,SK,49000000,215000
9133,Youssoufa Moukoko,ST (C),Borussia Dortmund,Bundesliga,Germany (Bundesliga),GER,179,72,14,Left,ST (C),AF,1600000,55
