gameID,TeamID,teamName,League,Season,Date,Time,Location,goalsScored,goalsCondeced,xGoals,shots,shotsOnTarget,deep,ppda,fouls,corners,yellowCards,redCards,result,probWin,HTGoals,managerStintID,managerName,nationality,club,from,until,durationInDays 
81,89,Manchester United,Premier League,2015,08/08/2015,15:45:00,h,1,0,0.627538979,9,1,4,13.82610035,12,1,2,0,W,0.284299999,1,83,Louis van Gaal,Netherlands,Manchester United,14-Jul-14,23-May-16,679
81,82,Tottenham,Premier League,2015,08/08/2015,15:45:00,a,0,1,0.674600005,9,4,10,8.218799591,12,2,3,0,L,0.315800011,0,142,Mauricio Pochettino,Argentina,Tottenham,27-May-14,19-Nov-19,2002
82,73,Bournemouth,Premier League,2015,08/08/2015,18:00:00,h,0,1,0.876106024,11,2,11,6.900000095,13,6,3,0,L,0.3574,0,13,Eddie Howe,England,Bournemouth,12-Oct-12,01-Aug-20,2850
82,71,Aston Villa,Premier League,2015,08/08/2015,18:00:00,a,1,0,0.782253027,7,3,2,11.84619999,13,3,4,0,W,0.292600006,0,11,Tim Sherwood,England,Aston Villa,14-Feb-15,25-Oct-15,253
83,72,Everton,Premier League,2015,08/08/2015,18:00:00,h,2,2,0.604225993,10,5,5,6.650000095,7,8,1,0,D,0.298799992,0,48,Roberto Martinez,Spain,Everton,05-Jun-13,12-May-16,1072
83,90,Watford,Premier League,2015,08/08/2015,18:00:00,a,2,2,0.557892025,11,5,4,17.15789986,13,2,2,0,D,0.267500013,1,153,Quique Sanchez Flores,Spain,Watford,05-Jun-15,15-May-16,345
84,75,Leicester,Premier League,2015,08/08/2015,18:00:00,h,4,2,2.568030119,19,8,5,10.88000011,13,6,2,0,W,0.642199993,3,70,Claudio Ranieri,Italy,Leicester,13-Jul-15,23-Feb-17,591
84,77,Sunderland,Premier League,2015,08/08/2015,18:00:00,a,2,4,1.45946002,11,5,6,9.555600166,17,3,4,0,L,0.152099997,0,122,Dick Advocaat,Netherlands,Sunderland,17-Mar-15,04-Oct-15,201
85,79,Norwich,Premier League,2015,08/08/2015,18:00:00,h,1,3,1.130759954,17,6,5,5.736800194,14,1,1,0,L,0.1461,0,101,Alex Neil,Scotland,Norwich,09-Jan-15,10-Mar-17,791
85,78,Crystal Palace,Premier League,2015,08/08/2015,18:00:00,a,3,1,2.109750032,11,7,10,10.625,20,4,0,0,W,0.638000011,1,37,Alan Pardew,England,Crystal Palace,02-Jan-15,22-Dec-16,720
