gameID,Time,season,homeGoals,awayGoals,temp,dewPointC,humidity,windSpeedKPH,weather,HTGoalsHome,HTGoalsAway
81,15:45:00,2015,1,0,22.72,12.58,53,5.91,Partly Cloudy,1,0
82,18:00:00,2015,0,1,24.96,14.95,54,6.48,Mostly Sunny,0,0
83,18:00:00,2015,2,2,16.19,14.62,90,9.85,Partly Cloudy,0,1
84,18:00:00,2015,4,2,23.67,13.08,51,11.62,Partly Cloudy,3,0
85,18:00:00,2015,1,3,21.11,8.29,44,21.32,Mostly Sunny,0,1
86,20:30:00,2015,2,2,20.59,12.9,61,11.11,Partly Cloudy,2,1
87,16:30:00,2015,2,2,12.03,10.46,90,5.56,Mostly Cloudy,1,1
88,16:30:00,2015,0,2,16.55,9.63,64,6.3,Partly Cloudy,0,1
89,19:00:00,2015,0,1,12.18,10.27,88,5.56,Rain Showers,0,0
90,23:00:00,2015,0,3,10.33,8.85,91,7.41,Clear,0,2
91,22:45:00,2015,0,1,4.87,1.71,80,18.13,Partly Cloudy,0,1
92,15:45:00,2015,0,3,6.45,4.66,88,12.13,Rain Showers,0,2
93,18:00:00,2015,1,3,6.3,3.78,84,14.82,Partly Cloudy,0,2
94,18:00:00,2015,2,0,7.87,6.79,93,7.9,Rain Showers,1,0
95,18:00:00,2015,2,2,7.37,4,79,8.33,Rain Showers,2,0
96,18:00:00,2015,0,0,6.73,5.1,89,8.98,Rain Showers,0,0
97,18:00:00,2015,1,2,7.81,3.96,77,8.33,Rain Showers,0,2
98,16:30:00,2015,1,2,12.34,4.47,59,8.16,Isolated Showers,1,1
99,19:00:00,2015,3,0,11.75,4.1,59,9.26,Rain Showers,1,0
100,23:00:00,2015,1,0,18.66,11.9,65,10.19,Mostly Cloudy,1,0
101,15:45:00,2015,0,0,15,7.47,61,5.56,Rain Showers,0,0
102,18:00:00,2015,1,1,13.52,10.25,81,9.11,Rain Showers,1,1
103,18:00:00,2015,1,1,11.93,9.68,86,11.11,Rain Showers,0,1
104,18:00:00,2015,2,1,13.84,9.38,75,5.56,Partly Cloudy,0,0
105,18:00:00,2015,1,1,11.15,8.54,84,5.56,Mostly Cloudy,0,0
106,18:00:00,2015,3,4,15.02,9.63,70,6.48,Sunny,0,2
107,16:30:00,2015,2,3,3.87,2.43,90,14.82,Isolated Showers,1,3
108,19:00:00,2015,0,2,3.27,2.68,96,13.89,Scattered Showers,0,0
109,19:00:00,2015,0,0,4.42,2.02,84,9.26,Isolated Showers,0,0
110,23:00:00,2015,0,0,12.64,11.46,93,5.56,Rain Showers,0,0
111,15:45:00,2015,0,1,9.13,2.83,65,28.67,Mostly Cloudy,0,0
112,18:00:00,2015,0,1,11.27,4.3,62,16.67,Partly Cloudy,0,1
113,18:00:00,2015,2,2,10.87,2.67,57,18.24,Mostly Cloudy,2,1
114,18:00:00,2015,1,1,13.77,4.16,52,9.26,Mostly Cloudy,1,0
115,18:00:00,2015,1,2,11.43,6.63,72,10.26,Cloudy,0,0
116,18:00:00,2015,0,3,16.17,4.63,46,7.44,Mostly Sunny,0,2
117,18:00:00,2015,2,0,13.04,3.27,52,9.26,Mostly Cloudy,0,0
118,20:30:00,2015,0,0,9.09,6.22,82,11.64,Rain Showers,0,0
119,16:30:00,2015,3,0,15.15,13.35,89,11.48,Isolated Showers,1,0
120,19:00:00,2015,2,1,14.87,13.59,92,12.92,Mostly Cloudy,0,0
121,15:45:00,2015,3,1,11.59,5.73,67,17.12,Rain Showers,2,1
